1,SOUTHEAST ALABAMA MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,806.10 ",1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301
2,MARSHALL MEDICAL CENTER SOUTH,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,906.23 ",2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957
3,ELIZA COFFEE MEMORIAL HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,198.83 ",205 MARENGO STREET,FLORENCE,AL,35631
4,MIZELL MEMORIAL HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,275.00 ",702 N MAIN ST,OPP,AL,36467
5,MARSHALL MEDICAL CENTER NORTH,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$10,516.40 ",8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,35976
6,ST VINCENT'S EAST,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,313.79 ",50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235
7,DEKALB REGIONAL MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,005.43 ",200 MED CENTER DRIVE,FORT PAYNE,AL,35968
8,SHELBY BAPTIST MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,404.86 ",1000 FIRST STREET NORTH,ALABASTER,AL,35007
9,HELEN KELLER MEMORIAL HOSPITAL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$11,703.34 ",1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660
10,DALE MEDICAL CENTER,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$12,372.00 ",126 HOSPITAL AVE,OZARK,AL,36360
